source,target,year
link,strength,1990
date,pct,1990
angle,flight,1990
float,gate,1990
hypothesis,opinion,1990
recognition,secure,1990
function,membership,1990
azimuth,position,1990
linear,prediction,1990
guide,navigation,1990
azimuth,detect,1990
book,code,1990
coefficient,linear,1990
link,node,1990
node,strength,1990
codebook,communication,1990
stroke,write,1990
language,natural_language,1990
azimuth,light,1990
error,link,1990
error,strength,1990
base,knowledge,1990
feed,speech_recognition,1990
row,voltage,1990
address,decode,1990
fuzzy,reasoning,1990
expert,system,1990
aircraft,angle,1990
aircraft,flight,1990
network,output,1990
dictionary,retrieval,1990
string,syllable,1990
converter,digital,1990
opinion,table,1990
coefficient,prediction,1990
prediction,transfer,1990
electric,switch,1990
book,distance,1990
access,mode,1990
analog,digital,1990
position,vehicle,1990
inference,knowledge,1990
second,variable,1990
learn,learning,1990
feature_vector,noise,1990
column,matrix,1990
shift,transmission,1990
access,storage,1990
coefficient,transfer,1990
arithmetic,logic,1990
net,neural,1990
discharge,pressure,1990
light,optical,1990
phoneme,standard,1990
error,node,1990
neural_network,secure,1990
column,opinion,1990
hypothesis,table,1990
communication,terminal,1990
decode,pixel,1990
detect,discharge,1990
detect,pressure,1990
procedure,type,1990
column,synapse,1990
network,variable,1990
code,distance,1990
column,row,1990
linear,transfer,1990
amplifier,converter,1990
rate,temperature,1990
address,bus,1990
amplifier,synapsis,1990
column,voltage,1990
discharge,partial,1990
neural_network,recognition,1990
artificial_neural,network,1990
cell,float,1990
analog,converter,1990
column,hypothesis,1990
analysis,linear,1990
amplifier,voltage,1990
array,voltage,1990
azimuth,vehicle,1990
layer,output,1990
detect,vehicle,1990
device,storage,1990
component,test,1990
text,user,1990
base,table,1990
column,table,1990
sample,sound,1990
analog,voltage,1990
output,variable,1990
book,vector,1990
associative,memory,1990
learning,neural_network,1990
phoneme,string,1990
connection,processing,1990
classification,color,1990
phoneme,prediction,1990
frequency,secure,1990
associative,color,1990
code,vector,1990
detect,light,1990
light,position,1990
element,layer,1990
fuzzy,rule,1990
beam,light,1990
area,picture,1990
frequency,recognition,1990
sound,time,1990
phoneme,syllable,1990
coefficient,phoneme,1990
phoneme,transfer,1990
azimuth,reference,1990
time,variable,1990
path,reference,1990
link,relationship,1990
degree,index,1990
period,pitch,1990
command,run,1990
index,retrieval,1990
degree,stroke,1990
problem,service,1990
artificial_neural,data,1990
artificial_neural,processing_device,1990
artificial_neural,response,1990
data,processing_device,1990
data,response,1990
processing_device,response,1990
converter,power,1990
card,retrieval,1990
degree,execution,1990
degree,graphic,1990
command,natural_language,1990
retrieval,search,1990
location,period,1990
artificial_neural,number,1990
artificial_neural,store,1990
number,store,1990
index,run,1990
command,pitch,1990
store,synapsis,1990
period,speak,1990
synapse,synapsis,1990
coupling,link,1990
coupling,strength,1990
channel,coupling,1990
environment,optimum,1990
run,work,1990
output,unit,1990
link,mean,1990
mean,strength,1990
layer,unit,1990
inference,rule,1990
frequency,time,1990
code,relationship,1990
float,line,1990
attribute,program,1990
analog,bus,1990
function,message,1990
update,weight,1990
line,synapsis,1990
bus,cell,1990
level,noise,1990
array,column,1990
learn,pattern,1990
fuzzy,membership,1990
azimuth,mean,1990
speaker,voice,1990
signal,voice,1990
pattern,standard,1990
character,stroke,1990
speak,word,1990
linear,neural_network,1990
fuzzy,temperature,1990
cell,gate,1990
column,processing,1990
linear,phoneme,1990
prediction,standard,1990
command,control,1990
processor,store,1990
feature,net,1990
binary,parallel,1990
access,degree,1990
access,index,1990
obstacle,strength,1990
sensor,strength,1990
event,mechanism,1990
instruction,store,1990
index,update,1990
retrieval,update,1990
detection,string,1990
load,power,1990
environment,subsystem,1990
accumulate,region,1990
apparatus,search,1990
problem,subsystem,1990
service,subsystem,1990
answer,work,1990
load,work,1990
detection,transform,1990
index,portion,1990
mechanism,navigation,1990
binary,feedback,1990
feed,parallel,1990
pair,parallel,1990
environment,prediction,1990
graphic,interface,1990
arrangement,book,1990
event,response,1990
angle,command,1990
command,flight,1990
float,voltage,1990
decode,prediction,1990
accumulate,net,1990
characteristic,relationship,1990
decode,product,1990
coupling,member,1990
data,member,1990
apparatus,feedback,1990
fault,search,1990
book,sequence,1990
binary,synapse,1990
correlation,retrieval,1990
synapse,voltage,1990
synapsis,voltage,1990
navigation,wave,1990
distribution,power,1990
decode,transform,1990
coupling,update,1990
link,update,1990
strength,update,1990
graphic,string,1990
arrangement,store,1990
electric,wave,1990
data,pair,1990
characteristic,recognize,1990
channel,spectral,1990
channel,waveform,1990
pitch,secure,1990
robot,run,1990
robot,work,1990
camera,environment,1990
command,feed,1990
network,unit,1990
travel,vehicle,1990
hypothesis,rule,1990
character,net,1990
light,vehicle,1990
processor,truth,1990
program,user,1990
control,portion,1990
coefficient,standard,1990
standard,transfer,1990
block,cell,1990
node,voltage,1990
course,position,1990
neural,weight,1990
net,recognition,1990
learning,partial,1990
recognition,voice,1990
base,inference,1990
speaker,speech,1990
secure,voice,1990
element,function,1990
memory,weight,1990
execution,knowledge,1990
network,second,1990
character,document,1990
codebook,device,1990
switch,synapse,1990
transform,truth,1990
apparatus,measurement,1990
arrangement,feed,1990
arrangement,speech_recognition,1990
obstacle,sensor,1990
correlation,factor,1990
recognize,similarity,1990
acoustic,sequence,1990
detection,syllable,1990
pair,sample,1990
accumulate,similarity,1990
sample,sequence,1990
adaptive,guidance,1990
adaptive,robot,1990
guidance,robot,1990
access,instruction,1990
answer,load,1990
communication,electric,1990
operation,processing_device,1990
address,wave,1990
buffer,wave,1990
book,evaluate,1990
feed,pair,1990
evaluate,index,1990
factor,load,1990
category,condition,1990
associative,problem,1990
distribution,load,1990
evaluate,response,1990
message,opinion,1990
connection,parallel,1990
category,product,1990
item,relationship,1990
decode,mode,1990
discharge,work,1990
execution,module,1990
product,update,1990
instruction,language,1990
arithmetic,decode,1990
connection,decode,1990
degree,similarity,1990
data,plurality,1990
data,transfer,1990
interface,write,1990
material,member,1990
buffer,synapsis,1990
connection,float,1990
distribution,language,1990
category,portion,1990
period,person,1990
person,speak,1990
angle,navigation,1990
automate,transfer,1990
diagnostic,equipment,1990
flight,subsystem,1990
book,design,1990
characteristic,secure,1990
binary,distribution,1990
condition,road,1990
mode,recognize,1990
pressure,recognize,1990
spectral,waveform,1990
classification,decode,1990
distribution,portion,1990
spectral,transform,1990
member,robot,1990
net,pair,1990
neural_network,output,1990
node,value,1990
link,value,1990
strength,value,1990
speech,word,1990
communication,device,1990
plant,process,1990
dictionary,recognition,1990
linear,standard,1990
feedback,network,1990
point,waveform,1990
processor,register,1990
control,controller,1990
pattern,reference,1990
learn,neural_network,1990
truth,value,1990
circuit,signal,1990
learning,output,1990
gate,line,1990
azimuth,point,1990
feature,quantity,1990
control,control_system,1990
detect,position,1990
input,learn,1990
road,state,1990
parallel,register,1990
artificial_neural,individual,1990
codebook,individual,1990
acoustic,switch,1990
acoustic,transmission,1990
guidance,module,1990
dictionary,index,1990
equipment,message,1990
detection,sentence,1990
region,similarity,1990
candidate,speech_recognition,1990
associative,sample,1990
associative,sequence,1990
access,operation,1990
instruction,operation,1990
artificial_neural,storage,1990
data,storage,1990
processing_device,storage,1990
response,storage,1990
candidate,pair,1990
opinion,symbol,1990
accumulate,controller,1990
class,sample,1990
card,dictionary,1990
index,table,1990
number,storage,1990
execution,table,1990
arithmetic,factor,1990
arithmetic,load,1990
angle,path,1990
flight,path,1990
controller,graphic,1990
instruction,procedure,1990
opinion,text,1990
number,telephone,1990
arithmetic,truth,1990
arithmetic,stage,1990
shift,stage,1990
channel,engine,1990
analysis,relationship,1990
characteristic,item,1990
address,product,1990
mode,product,1990
buffer,interface,1990
condition,syllable,1990
artificial_neural,digital,1990
artificial_neural,register,1990
digital,number,1990
digital,store,1990
number,register,1990
register,store,1990
speak,telephone,1990
decode,storage,1990
diagnostic,logic,1990
spectrum,transmission,1990
discharge,electric,1990
factor,item,1990
member,plurality,1990
member,transfer,1990
buffer,communication,1990
communication,message,1990
card,engine,1990
class,instruction,1990
analysis,automate,1990
answer,candidate,1990
answer,item,1990
characteristic,plurality,1990
digital,location,1990
document,location,1990
category,class,1990
class,portion,1990
message,string,1990
distance,relationship,1990
condition,evaluate,1990
navigation,path,1990
analysis,speak,1990
diagnostic,evaluate,1990
event,module,1990
pressure,sensor,1990
card,text,1990
correlation,transmission,1990
candidate,equipment,1990
secure,shift,1990
document,graphic,1990
mechanism,telephone,1990
associative,interface,1990
design,interface,1990
binary,logic,1990
automate,machine,1990
characteristic,transfer,1990
characteristic,mode,1990
characteristic,pressure,1990
cluster,decode,1990
coefficient,transform,1990
distribution,item,1990
item,portion,1990
equipment,logic,1990
buffer,correlation,1990
arrangement,transmission,1990
class,spectral,1990
class,transform,1990
connection,factor,1990
classification,waveform,1990
mean,node,1990
instruction,memory,1990
guidance,system,1990
membership,section,1990
device,diagnosis,1990
block,line,1990
frame,parameter,1990
beam,object,1990
analog,weight,1990
input,weight,1990
amplifier,line,1990
access,memory,1990
circuit,neuron,1990
track,vehicle,1990
knowledge,rule,1990
voice,word,1990
color,picture,1990
noise,standard,1990
network,set,1990
diagnosis,state,1990
memory,mode,1990
binary,register,1990
synapse,terminal,1990
feature_vector,power,1990
table,transform,1990
table,truth,1990
measurement,time,1990
communication,individual,1990
automate,test,1990
float,level,1990
switch,transmission,1990
course,target,1990
course,travel,1990
dictionary,update,1990
accumulate,travel,1990
sentence,string,1990
degree,feature_vector,1990
feature_vector,stroke,1990
cluster,pair,1990
cluster,sample,1990
dictionary,write,1990
access,cluster,1990
access,table,1990
instruction,storage,1990
segment,surface,1990
event,time,1990
address,buffer,1990
answer,attribute,1990
guide,mechanism,1990
distance,spectrum,1990
measurement,type,1990
angle,symbol,1990
flight,symbol,1990
controller,interface,1990
individual,instruction,1990
degree,segment,1990
graphic,segment,1990
command,control_system,1990
control_system,natural_language,1990
beam,surface,1990
guide,number,1990
response,test,1990
codebook,feature_vector,1990
engine,subsystem,1990
arithmetic,shift,1990
register,stage,1990
arithmetic,evaluate,1990
analysis,characteristic,1990
address,mode,1990
interface,storage,1990
location,test,1990
period,test,1990
instruction,machine,1990
language,machine,1990
address,arithmetic,1990
address,connection,1990
arithmetic,connection,1990
bus,decode,1990
class,classification,1990
digital,spectrum,1990
diagnosis,factor,1990
data,terminal,1990
plurality,transfer,1990
buffer,message,1990
guide,track,1990
material,sentence,1990
coefficient,switch,1990
distance,sequence,1990
feature_vector,retrieval,1990
design,operation,1990
procedure,transfer,1990
neural,update,1990
analysis,answer,1990
answer,text,1990
sequence,type,1990
distance,navigation,1990
search,target,1990
automate,guide,1990
automate,travel,1990
automate,control_system,1990
engine,sensor,1990
guide,wave,1990
station,travel,1990
document,portion,1990
float,terminal,1990
answer,diagnosis,1990
card,reasoning,1990
document,string,1990
characteristic,time,1990
secure,time,1990
detect,obstacle,1990
level,mechanism,1990
associative,design,1990
parallel,travel,1990
control_system,service,1990
mode,pressure,1990
controller,distribution,1990
controller,portion,1990
adaptive,neural,1990
class,plurality,1990
neural,pair,1990
opinion,rule,1990
logic,unit,1990
array,vector,1990
speaker,standard,1990
connection,element,1990
neuron,synapsis,1990
feedback,neuron,1990
control,variable,1990
image,optical,1990
detect,mean,1990
error,value,1990
character,recognition,1990
beam,vehicle,1990
element,neural,1990
feedback,output,1990
execution,inference,1990
control,speed,1990
category,neural_network,1990
fault,test,1990
dictionary,plurality,1990
base,mechanism,1990
camera,travel,1990
sentence,syllable,1990
document,switch,1990
sentence,switch,1990
accumulate,quantity,1990
attribute,hypothesis,1990
camera,guide,1990
operation,storage,1990
hypothesis,symbol,1990
converter,quantity,1990
power,quantity,1990
adaptive,feature_vector,1990
beam,load,1990
evaluate,table,1990
reasoning,subsystem,1990
base,execution,1990
path,symbol,1990
bit,converter,1990
individual,procedure,1990
arrangement,bus,1990
message,text,1990
distribution,feature_vector,1990
bus,truth,1990
arithmetic,register,1990
register,shift,1990
bit,channel,1990
analysis,item,1990
pitch,pixel,1990
buffer,storage,1990
address,storage,1990
arithmetic,storage,1990
connection,storage,1990
attribute,class,1990
attribute,classification,1990
digital,transmission,1990
diagnosis,item,1990
member,terminal,1990
adaptive,linear,1990
base,data,1990
diagnosis,module,1990
module,text,1990
person,telephone,1990
bus,voltage,1990
correlation,feature_vector,1990
membership,run,1990
connection,type,1990
gate,synapse,1990
transfer,type,1990
characteristic,control_system,1990
obstacle,travel,1990
syllable,time,1990
acoustic,segment,1990
road,travel,1990
controller,mode,1990
mode,telephone,1990
column,synapsis,1990
distance,path,1990
engine,pressure,1990
design,distance,1990
channel,quantity,1990
apparatus,target,1990
equipment,partial,1990
feature_vector,sequence,1990
engine,hypothesis,1990
gate,store,1990
binary,segment,1990
bus,stage,1990
mode,storage,1990
segment,waveform,1990
classification,cluster,1990
diagnosis,message,1990
controller,item,1990
processing_device,quantity,1990
person,type,1990
hypothesis,sentence,1990
dictionary,procedure,1990
adaptive,test,1990
linear,secure,1990
function,value,1990
inference,instruction,1990
coefficient,neural_network,1990
function,section,1990
neural_network,plurality,1990
position,reference,1990
code,parameter,1990
fuzzy,terminal,1990
class,neural_network,1990
correlation,information,1990
fuzzy,inference,1990
acoustic,voice,1990
section,signal,1990
learning,pattern,1990
base,rule,1990
error,mean,1990
individual,neuron,1990
point,reference,1990
feature,standard,1990
network,processing,1990
feature,second,1990
control,weight,1990
network,process,1990
node,weight,1990
switch,terminal,1990
correlation,user,1990
factor,user,1990
base,event,1990
module,target,1990
document,sentence,1990
azimuth,terminal,1990
quantity,region,1990
access,base,1990
component,item,1990
block,synapsis,1990
azimuth,beam,1990
sentence,table,1990
converter,matrix,1990
expert,instruction,1990
set,table,1990
column,stage,1990
address,level,1990
control_system,path,1990
dictionary,register,1990
amplifier,float,1990
arithmetic,control_system,1990
control_system,evaluate,1990
pixel,prediction,1990
