source,target,year,Tag,index,company_year,company_color
link,strength,1990,no,565,2010,3
date,pct,1990,no,0,0,1
angle,flight,1990,no,0,0,1
float,gate,1990,no,0,0,1
hypothesis,opinion,1990,no,0,0,1
recognition,secure,1990,no,3406,1990,4
function,membership,1990,no,0,0,1
azimuth,position,1990,no,0,0,1
linear,prediction,1990,no,11983,2011,3
guide,navigation,1990,no,30526,2007,3
azimuth,detect,1990,no,0,0,1
book,code,1990,no,2139,2013,3
coefficient,linear,1990,no,0,0,1
link,node,1990,no,2443,2010,3
node,strength,1990,no,0,0,1
codebook,communication,1990,no,0,0,1
stroke,write,1990,no,52837,2020,3
language,natural_language,1990,no,524,1990,4
azimuth,light,1990,no,0,0,1
error,link,1990,no,12999,1993,3
error,strength,1990,no,5394,2015,3
base,knowledge,1990,no,17771,1990,4
feed,speech_recognition,1990,no,0,0,1
row,voltage,1990,no,0,0,1
address,decode,1990,no,0,0,1
fuzzy,reasoning,1990,no,35727,2021,3
expert,system,1990,no,16276,1992,3
aircraft,angle,1990,no,0,0,1
aircraft,flight,1990,no,30671,2009,3
network,output,1990,no,3255,2002,3
dictionary,retrieval,1990,no,7877,2017,3
string,syllable,1990,no,0,0,1
converter,digital,1990,no,45790,2022,3
opinion,table,1990,no,0,0,1
coefficient,prediction,1990,no,0,0,1
prediction,transfer,1990,no,1444,2010,3
electric,switch,1990,no,6365,2019,3
book,distance,1990,no,39147,2021,3
access,mode,1990,no,12861,2012,3
analog,digital,1990,no,3275,1991,3
position,vehicle,1990,no,17431,2008,3
inference,knowledge,1990,no,94,1994,3
second,variable,1990,no,54692,2023,3
learn,learning,1990,no,16458,1990,4
feature_vector,noise,1990,no,0,0,1
column,matrix,1990,no,0,0,1
shift,transmission,1990,no,0,0,1
access,storage,1990,no,16094,1990,4
coefficient,transfer,1990,no,0,0,1
arithmetic,logic,1990,no,5517,2016,3
net,neural,1990,no,2382,2009,3
discharge,pressure,1990,no,0,0,1
light,optical,1990,no,1553,2011,3
phoneme,standard,1990,no,19443,2017,3
error,node,1990,no,0,0,1
neural_network,secure,1990,no,466,2002,3
column,opinion,1990,no,0,0,1
hypothesis,table,1990,no,0,0,1
communication,terminal,1990,no,22320,2001,3
decode,pixel,1990,no,0,0,1
detect,discharge,1990,no,0,0,1
detect,pressure,1990,no,3018,2012,3
procedure,type,1990,no,5280,2013,3
column,synapse,1990,no,0,0,1
network,variable,1990,no,4862,2015,3
code,distance,1990,no,29927,2018,3
column,row,1990,no,0,0,1
linear,transfer,1990,no,0,0,1
amplifier,converter,1990,no,0,0,1
rate,temperature,1990,no,41812,2014,3
address,bus,1990,no,28989,2019,3
amplifier,synapsis,1990,no,0,0,1
column,voltage,1990,no,0,0,1
discharge,partial,1990,no,0,0,1
neural_network,recognition,1990,no,13550,1998,3
artificial_neural,network,1990,no,466,2002,3
cell,float,1990,no,0,0,1
analog,converter,1990,no,0,0,1
column,hypothesis,1990,no,0,0,1
analysis,linear,1990,no,11983,2011,3
amplifier,voltage,1990,no,0,0,1
array,voltage,1990,no,0,0,1
azimuth,vehicle,1990,no,0,0,1
layer,output,1990,no,34695,2020,3
detect,vehicle,1990,no,29376,1999,3
device,storage,1990,no,51046,1999,3
component,test,1990,no,20068,2018,3
text,user,1990,no,4883,1991,3
base,table,1990,no,3255,2002,3
column,table,1990,no,41216,2023,3
sample,sound,1990,no,3641,1991,3
analog,voltage,1990,no,0,0,1
output,variable,1990,no,28567,2018,3
book,vector,1990,no,0,0,1
associative,memory,1990,no,8188,2014,3
learning,neural_network,1990,no,7146,1992,3
phoneme,string,1990,no,0,0,1
connection,processing,1990,no,35397,1999,3
classification,color,1990,no,8155,2016,3
phoneme,prediction,1990,no,0,0,1
frequency,secure,1990,no,20842,2019,3
associative,color,1990,no,0,0,1
code,vector,1990,no,15302,2012,3
detect,light,1990,no,13985,2010,3
light,position,1990,no,16272,2010,3
element,layer,1990,no,7474,2016,3
fuzzy,rule,1990,no,24934,2013,3
