word1,word2,intersections,count1,count2,union_count,jaccard_coef,year
link,strength,4,5,5,6,0.6666666666666666,1990
date,pct,11,11,19,19,0.5789473684210527,1990
angle,flight,4,6,6,8,0.5,1990
float,gate,4,5,10,11,0.36363636363636365,1990
hypothesis,opinion,3,7,5,9,0.3333333333333333,1990
recognition,secure,5,17,6,18,0.2777777777777778,1990
function,membership,5,14,10,19,0.2631578947368421,1990
azimuth,position,5,7,18,20,0.25,1990
linear,prediction,3,9,6,12,0.25,1990
guide,navigation,3,9,6,12,0.25,1990
azimuth,detect,3,7,8,12,0.25,1990
book,code,4,5,16,17,0.23529411764705882,1990
coefficient,linear,3,7,9,13,0.23076923076923078,1990
link,node,4,5,17,18,0.2222222222222222,1990
node,strength,4,17,5,18,0.2222222222222222,1990
codebook,communication,2,5,6,9,0.2222222222222222,1990
stroke,write,2,5,6,9,0.2222222222222222,1990
language,natural_language,2,6,5,9,0.2222222222222222,1990
azimuth,light,5,7,21,23,0.21739130434782608,1990
error,link,3,12,5,14,0.21428571428571427,1990
error,strength,3,12,5,14,0.21428571428571427,1990
base,knowledge,7,10,31,34,0.20588235294117646,1990
feed,speech_recognition,2,6,6,10,0.2,1990
row,voltage,2,6,6,10,0.2,1990
address,decode,2,7,5,10,0.2,1990
fuzzy,reasoning,5,22,9,26,0.19230769230769232,1990
expert,system,5,10,21,26,0.19230769230769232,1990
aircraft,angle,3,13,6,16,0.1875,1990
aircraft,flight,3,13,6,16,0.1875,1990
network,output,7,20,25,38,0.18421052631578946,1990
dictionary,retrieval,2,8,5,11,0.18181818181818182,1990
string,syllable,2,6,7,11,0.18181818181818182,1990
converter,digital,2,5,8,11,0.18181818181818182,1990
opinion,table,2,5,8,11,0.18181818181818182,1990
coefficient,prediction,2,7,6,11,0.18181818181818182,1990
prediction,transfer,2,6,7,11,0.18181818181818182,1990
electric,switch,2,6,7,11,0.18181818181818182,1990
book,distance,2,5,8,11,0.18181818181818182,1990
access,mode,2,6,7,11,0.18181818181818182,1990
analog,digital,3,12,8,17,0.17647058823529413,1990
position,vehicle,8,18,36,46,0.17391304347826086,1990
inference,knowledge,8,25,31,48,0.16666666666666666,1990
second,variable,4,16,12,24,0.16666666666666666,1990
learn,learning,4,14,14,24,0.16666666666666666,1990
feature_vector,noise,3,9,12,18,0.16666666666666666,1990
column,matrix,3,10,11,18,0.16666666666666666,1990
shift,transmission,2,7,7,12,0.16666666666666666,1990
access,storage,2,6,8,12,0.16666666666666666,1990
coefficient,transfer,2,7,7,12,0.16666666666666666,1990
arithmetic,logic,2,7,7,12,0.16666666666666666,1990
net,neural,2,6,8,12,0.16666666666666666,1990
discharge,pressure,2,7,7,12,0.16666666666666666,1990
light,optical,5,21,15,31,0.16129032258064516,1990
phoneme,standard,4,13,16,25,0.16,1990
error,node,4,12,17,25,0.16,1990
neural_network,secure,4,24,6,26,0.15384615384615385,1990
column,opinion,2,10,5,13,0.15384615384615385,1990
hypothesis,table,2,7,8,13,0.15384615384615385,1990
communication,terminal,2,6,9,13,0.15384615384615385,1990
decode,pixel,2,5,10,13,0.15384615384615385,1990
detect,discharge,2,8,7,13,0.15384615384615385,1990
detect,pressure,2,8,7,13,0.15384615384615385,1990
procedure,type,2,7,8,13,0.15384615384615385,1990
column,synapse,2,10,5,13,0.15384615384615385,1990
network,variable,4,20,12,28,0.14285714285714285,1990
code,distance,3,16,8,21,0.14285714285714285,1990
column,row,2,10,6,14,0.14285714285714285,1990
linear,transfer,2,9,7,14,0.14285714285714285,1990
amplifier,converter,2,11,5,14,0.14285714285714285,1990
rate,temperature,2,5,11,14,0.14285714285714285,1990
