source,target,year,Tag
link,strength,1990,no
date,pct,1990,no
angle,flight,1990,no
float,gate,1990,no
hypothesis,opinion,1990,no
recognition,secure,1990,no
function,membership,1990,no
azimuth,position,1990,no
linear,prediction,1990,no
guide,navigation,1990,no
azimuth,detect,1990,no
book,code,1990,no
coefficient,linear,1990,no
link,node,1990,no
node,strength,1990,no
codebook,communication,1990,no
stroke,write,1990,no
language,natural_language,1990,no
azimuth,light,1990,no
error,link,1990,no
error,strength,1990,no
base,knowledge,1990,no
feed,speech_recognition,1990,no
row,voltage,1990,no
address,decode,1990,no
fuzzy,reasoning,1990,no
expert,system,1990,no
aircraft,angle,1990,no
aircraft,flight,1990,no
network,output,1990,no
dictionary,retrieval,1990,no
string,syllable,1990,no
converter,digital,1990,no
opinion,table,1990,no
coefficient,prediction,1990,no
prediction,transfer,1990,no
electric,switch,1990,no
book,distance,1990,no
access,mode,1990,no
analog,digital,1990,no
position,vehicle,1990,no
inference,knowledge,1990,no
second,variable,1990,no
learn,learning,1990,no
feature_vector,noise,1990,no
column,matrix,1990,no
shift,transmission,1990,no
access,storage,1990,no
coefficient,transfer,1990,no
arithmetic,logic,1990,no
net,neural,1990,no
discharge,pressure,1990,no
light,optical,1990,no
phoneme,standard,1990,no
error,node,1990,no
neural_network,secure,1990,no
column,opinion,1990,no
hypothesis,table,1990,no
communication,terminal,1990,no
decode,pixel,1990,no
detect,discharge,1990,no
detect,pressure,1990,no
procedure,type,1990,no
column,synapse,1990,no
network,variable,1990,no
code,distance,1990,no
column,row,1990,no
linear,transfer,1990,no
amplifier,converter,1990,no
rate,temperature,1990,no
address,bus,1990,no
amplifier,synapsis,1990,no
column,voltage,1990,no
discharge,partial,1990,no
neural_network,recognition,1990,no
artificial_neural,network,1990,no
cell,float,1990,no
analog,converter,1990,no
column,hypothesis,1990,no
analysis,linear,1990,no
amplifier,voltage,1990,no
array,voltage,1990,no
azimuth,vehicle,1990,no
layer,output,1990,no
detect,vehicle,1990,no
device,storage,1990,no
component,test,1990,no
text,user,1990,no
base,table,1990,no
column,table,1990,no
sample,sound,1990,no
analog,voltage,1990,no
output,variable,1990,no
book,vector,1990,no
associative,memory,1990,no
learning,neural_network,1990,no
phoneme,string,1990,no
connection,processing,1990,no
classification,color,1990,no
phoneme,prediction,1990,no
frequency,secure,1990,no
associative,color,1990,no
code,vector,1990,no
detect,light,1990,no
light,position,1990,no
element,layer,1990,no
fuzzy,rule,1990,no
beam,light,1990,no
area,picture,1990,no
frequency,recognition,1990,no
sound,time,1990,no
phoneme,syllable,1990,no
coefficient,phoneme,1990,no
phoneme,transfer,1990,no
azimuth,reference,1990,no
time,variable,1990,no
path,reference,1990,no
link,relationship,1990,no
degree,index,1990,no
